"Q1_star_avg","EIF_std","num_pp","Q1_star_lb","Q1_star_ub","patient_profiles","htn_med_class"
-0.531223424931935,0.0706106829296383,734,-0.669620363474026,-0.392826486389844,"(65,150]_[0,150]_[0,90]_(30,100]_(200,300]_[0,0.95]","acei"
-0.123120171774804,0.0288277184039934,1618,-0.179622499846632,-0.0666178437029772,"[0,65]_[0,150]_[0,90]_(30,100]_[0,200]_[0,0.95]","acei"
-0.49279381583066,0.322762142577938,813,-1.12540761528342,0.139819983622098,"[0,65]_(150,300]_(90,200]_(30,100]_[0,200]_[0,0.95]","acei"
0.0710333714147147,0.0251973417711895,1208,0.0216465815431833,0.120420161286246,"(65,150]_[0,150]_[0,90]_[0,30]_[0,200]_(0.95,5]","acei"
-0.597112667340997,0.0619710722579669,570,-0.718575968966612,-0.475649365715382,"[0,65]_(150,300]_(90,200]_(30,100]_[0,200]_(0.95,5]","acei"
-0.37837781248358,0.0464837805862456,949,-0.469486022432621,-0.287269602534538,"[0,65]_[0,150]_[0,90]_(30,100]_[0,200]_(0.95,5]","acei"
-0.14247562557502,0.0462977917641361,443,-0.233219297432727,-0.0517319537173132,"[0,65]_(150,300]_(90,200]_[0,30]_[0,200]_[0,0.95]","acei"
-0.219538218978347,0.168597380207017,390,-0.5499890841841,0.110912646227406,"[0,65]_(150,300]_(90,200]_[0,30]_[0,200]_(0.95,5]","acei"
-0.120043320144914,0.0294030746542252,603,-0.177673346467195,-0.0624132938226326,"[0,65]_(150,300]_(90,200]_[0,30]_(200,300]_[0,0.95]","acei"
-0.136769780028835,0.0525648865634804,379,-0.239796957693257,-0.0337426023644135,"(65,150]_(150,300]_(90,200]_[0,30]_(200,300]_[0,0.95]","acei"
-0.580015147861613,0.0297601511882255,899,-0.638345044190535,-0.521685251532691,"[0,65]_(150,300]_(90,200]_(30,100]_(200,300]_[0,0.95]","acei"
-0.240059923622874,0.0289080875900356,1396,-0.296719775299344,-0.183400071946404,"(65,150]_[0,150]_[0,90]_(30,100]_[0,200]_[0,0.95]","acei"
-0.184464259127858,0.0683069950971062,272,-0.318345969518186,-0.0505825487375299,"[0,65]_[0,150]_(90,200]_[0,30]_(200,300]_(0.95,5]","acei"
-0.678920190789498,0.0990613677155733,222,-0.873080471512022,-0.484759910066975,"(65,150]_(150,300]_(90,200]_(30,100]_[0,200]_(0.95,5]","acei"
