"split_var_name","fn1","fn2"
"BMI",32.090272010782,6.24346259853344
"CKD",0,0
"DBP",89.0589602858888,11.0268334304041
"HF",0,0
"HbA1c",6.14653826254645,1.08285323135251
"PPI",0,0
"SBP",146.360821019966,15.2195084490689
"Sleep_Apnea",0,0
"T2DM",0,0
"age",5.67910478183476,19.9974217183754
"antidepressants",0,0
"creatinine",0.93991922911173,0.198107992415529
"ethnicity",1,0
"gender",1,0
"hormonal_therapy",0,0
"race",1.92307692307692,0.266629637343894
"statins",0,0
"total_cholesterol",194.836902286902,32.8789551036618
